```csv
Node_id,Node_name,Test_id,Test_name,dateTime,"Test Time (ms)","% Availability","% Ping Packet Loss","Jitter (ms)","Ping Round Trip (ms)"
335,"Las Vegas - Canary Linux - OL8 - ST",280305,TracerouteICMPHostSuccess,2025-05-23T05:12:41Z,,100.0,,,
335,"Las Vegas - Canary Linux - OL8 - ST",280305,TracerouteICMPHostSuccess,2025-05-23T05:12:41Z,,100.0,,,
335,"Las Vegas - Canary Linux - OL8 - ST",280305,TracerouteICMPHostSuccess,2025-05-23T05:12:41Z,,100.0,,,
335,"Las Vegas - Canary Linux - OL8 - ST",280305,TracerouteICMPHostSuccess,2025-05-23T05:12:41Z,,100.0,,,
335,"Las Vegas - Canary Linux - OL8 - ST",280305,TracerouteICMPHostSuccess,2025-05-23T05:12:41Z,,100.0,,,
335,"Las Vegas - Canary Linux - OL8 - ST",280305,TracerouteICMPHostSuccess,2025-05-23T05:12:41Z,,100.0,,,
335,"Las Vegas - Canary Linux - OL8 - ST",280305,TracerouteICMPHostSuccess,2025-05-23T05:12:41Z,,100.0,,,
4265,"Boston - Verizon - ST",280165,TracerouteICMPIPAddressSuccess,2025-05-23T05:19:40Z,,100.0,,,
4265,"Boston - Verizon - ST",280165,TracerouteICMPIPAddressSuccess,2025-05-23T05:19:40Z,,0.0,,1.0,
4265,"Boston - Verizon - ST",280165,TracerouteICMPIPAddressSuccess,2025-05-23T05:19:40Z,,0.0,,1.0,
4265,"Boston - Verizon - ST",280165,TracerouteICMPIPAddressSuccess,2025-05-23T05:19:40Z,,0.0,,1.0,
4265,"Boston - Verizon - ST",280165,TracerouteICMPIPAddressSuccess,2025-05-23T05:19:40Z,,0.0,,1.0,
4265,"Boston - Verizon - ST",280165,TracerouteICMPIPAddressSuccess,2025-05-23T05:19:40Z,,0.0,,1.0,
4265,"Boston - Verizon - ST",280165,TracerouteICMPIPAddressSuccess,2025-05-23T05:19:40Z,,0.0,,,
335,"Las Vegas - Canary Linux - OL8 - ST",280599,TracerouteICMPIpAddressFailure,2025-05-23T05:23:41Z,,100.0,,,
335,"Las Vegas - Canary Linux - OL8 - ST",280599,TracerouteICMPIpAddressFailure,2025-05-23T05:23:41Z,,100.0,,1.0,
335,"Las Vegas - Canary Linux - OL8 - ST",280599,TracerouteICMPIpAddressFailure,2025-05-23T05:23:41Z,,100.0,,1.0,
335,"Las Vegas - Canary Linux - OL8 - ST",280599,TracerouteICMPIpAddressFailure,2025-05-23T05:23:41Z,,100.0,,1.0,
335,"Las Vegas - Canary Linux - OL8 - ST",280599,TracerouteICMPIpAddressFailure,2025-05-23T05:23:41Z,,100.0,,,
4710,"Seattle - Level3 - Redhat7 - ST",264155,PingICMPSuccess,2025-05-23T05:34:12Z,,100.0,,,
1791,"Redhat8 Linux IPv6 Backbone",280305,TracerouteICMPHostSuccess,2025-05-23T05:35:13Z,,100.0,,,
1791,"Redhat8 Linux IPv6 Backbone",280305,TracerouteICMPHostSuccess,2025-05-23T05:35:13Z,,100.0,,,
1791,"Redhat8 Linux IPv6 Backbone",280305,TracerouteICMPHostSuccess,2025-05-23T05:35:13Z,,100.0,,,
1791,"Redhat8 Linux IPv6 Backbone",280305,TracerouteICMPHostSuccess,2025-05-23T05:35:13Z,,100.0,,,
1791,"Redhat8 Linux IPv6 Backbone",280305,TracerouteICMPHostSuccess,2025-05-23T05:35:13Z,,100.0,,,
1791,"Redhat8 Linux IPv6 Backbone",280305,TracerouteICMPHostSuccess,2025-05-23T05:35:13Z,,100.0,,,
1791,"Redhat8 Linux IPv6 Backbone",280599,TracerouteICMPIpAddressFailure,2025-05-23T05:46:14Z,,100.0,,1.0,
1791,"Redhat8 Linux IPv6 Backbone",280599,TracerouteICMPIpAddressFailure,2025-05-23T05:46:14Z,,100.0,,1.0,
1791,"Redhat8 Linux IPv6 Backbone",280599,TracerouteICMPIpAddressFailure,2025-05-23T05:46:14Z,,100.0,,,
4265,"Boston - Verizon - ST",282626,TracerouteICMPIpv6IPonIpv4node,2025-05-23T06:04:42Z,,100.0,,,
335,"Las Vegas - Canary Linux - OL8 - ST",280165,TracerouteICMPIPAddressSuccess,2025-05-23T06:04:42Z,,100.0,,1.0,
335,"Las Vegas - Canary Linux - OL8 - ST",280165,TracerouteICMPIPAddressSuccess,2025-05-23T06:04:42Z,,100.0,,1.0,
335,"Las Vegas - Canary Linux - OL8 - ST",280165,TracerouteICMPIPAddressSuccess,2025-05-23T06:04:42Z,,100.0,,1.0,
335,"Las Vegas - Canary Linux - OL8 - ST",280165,TracerouteICMPIPAddressSuccess,2025-05-23T06:04:42Z,,100.0,,1.0,
335,"Las Vegas - Canary Linux - OL8 - ST",280165,TracerouteICMPIPAddressSuccess,2025-05-23T06:04:42Z,,100.0,,1.0,
335,"Las Vegas - Canary Linux - OL8 - ST",280165,TracerouteICMPIPAddressSuccess,2025-05-23T06:04:42Z,,100.0,,1.0,
335,"Las Vegas - Canary Linux - OL8 - ST",280165,TracerouteICMPIPAddressSuccess,2025-05-23T06:04:42Z,,100.0,,1.0,
335,"Las Vegas - Canary Linux - OL8 - ST",280165,TracerouteICMPIPAddressSuccess,2025-05-23T06:04:42Z,,100.0,,1.0,
335,"Las Vegas - Canary Linux - OL8 - ST",280165,TracerouteICMPIPAddressSuccess,2025-05-23T06:04:42Z,,100.0,,1.0,
335,"Las Vegas - Canary Linux - OL8 - ST",280165,TracerouteICMPIPAddressSuccess,2025-05-23T06:04:42Z,,100.0,,1.0,
335,"Las Vegas - Canary Linux - OL8 - ST",280165,TracerouteICMPIPAddressSuccess,2025-05-23T06:04:42Z,,100.0,,,
```
