```csv
dateTime,dimensions_0_id,dimensions_0_name,dimensions_1_id,dimensions_1_name,metrics_0_name,metrics_0_value,metrics_1_name,metrics_1_value,metrics_2_name,metrics_2_value,metrics_3_name,metrics_3_value,metrics_4_name,metrics_4_value
2025-05-23T05:34:12Z,264155,PingICMPSuccess,4710,"Seattle - Level3 - Redhat7 - ST","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",36.0
2025-05-23T05:35:13Z,280305,TracerouteICMPHostSuccess,1791,"Redhat8 Linux IPv6 Backbone","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",5.0
2025-05-23T05:35:13Z,280305,TracerouteICMPHostSuccess,1791,"Redhat8 Linux IPv6 Backbone","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",6.67
2025-05-23T05:35:13Z,280305,TracerouteICMPHostSuccess,1791,"Redhat8 Linux IPv6 Backbone","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",0.0
2025-05-23T05:35:13Z,280305,TracerouteICMPHostSuccess,1791,"Redhat8 Linux IPv6 Backbone","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",5.0
2025-05-23T05:35:13Z,280305,TracerouteICMPHostSuccess,1791,"Redhat8 Linux IPv6 Backbone","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",6.0
2025-05-23T05:35:13Z,280305,TracerouteICMPHostSuccess,1791,"Redhat8 Linux IPv6 Backbone","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",5.0
2025-05-23T05:35:13Z,280305,TracerouteICMPHostSuccess,1791,"Redhat8 Linux IPv6 Backbone","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",1.0
2025-05-23T05:35:13Z,280305,TracerouteICMPHostSuccess,1791,"Redhat8 Linux IPv6 Backbone","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",1.0
2025-05-23T05:35:13Z,280305,TracerouteICMPHostSuccess,1791,"Redhat8 Linux IPv6 Backbone","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",0.0
2025-05-23T05:35:13Z,280305,TracerouteICMPHostSuccess,1791,"Redhat8 Linux IPv6 Backbone","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",0.67
2025-05-23T05:46:14Z,280599,TracerouteICMPIpAddressFailure,1791,"Redhat8 Linux IPv6 Backbone","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",0.0
2025-05-23T05:46:14Z,280599,TracerouteICMPIpAddressFailure,1791,"Redhat8 Linux IPv6 Backbone","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",0.67
2025-05-23T05:46:14Z,280599,TracerouteICMPIpAddressFailure,1791,"Redhat8 Linux IPv6 Backbone","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",1.0
2025-05-23T05:46:14Z,280599,TracerouteICMPIpAddressFailure,1791,"Redhat8 Linux IPv6 Backbone","Ping Round Trip (ms)",,%" Availability",,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",
2025-05-23T06:04:42Z,280165,TracerouteICMPIPAddressSuccess,335,"Las Vegas - Canary Linux - OL8 - ST","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",219.0
2025-05-23T06:04:42Z,280165,TracerouteICMPIPAddressSuccess,335,"Las Vegas - Canary Linux - OL8 - ST","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",227.0
2025-05-23T06:04:42Z,280165,TracerouteICMPIPAddressSuccess,335,"Las Vegas - Canary Linux - OL8 - ST","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",210.0
2025-05-23T06:04:42Z,280165,TracerouteICMPIPAddressSuccess,335,"Las Vegas - Canary Linux - OL8 - ST","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",218.73
2025-05-23T06:04:42Z,280165,TracerouteICMPIPAddressSuccess,335,"Las Vegas - Canary Linux - OL8 - ST","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",227.0
2025-05-23T06:04:42Z,280165,TracerouteICMPIPAddressSuccess,335,"Las Vegas - Canary Linux - OL8 - ST","Ping Round Trip (ms)",,%" Availability",100.0,"%" Ping Packet Loss",,"Jitter (ms)",,"Test Time (ms)",0.67
